peakid,pkname,location,heightm,heightf,region,restrict,pstatus,pyear,pexpid
AMAD,Ama Dablam,Khumbu Himal,6814,22356,2,None,2,1961,AMAD61101
AMPG,Amphu Gyabjen,Khumbu Himal (N of Ama Dablam),5630,18471,2,Opened in 2002,2,1953,AMPG53101
ANN1,Annapurna I,Annapurna Himal,8091,26545,5,None,2,1950,ANN150101
ANN2,Annapurna II,Annapurna Himal,7937,26040,5,None,2,1960,ANN260101
ANN3,Annapurna III,Annapurna Himal,7555,24787,5,None,2,1961,ANN361101
ANN4,Annapurna IV,Annapurna Himal,7525,24688,5,None,2,1955,ANN455101
ANNE,Annapurna I East,Annapurna Himal (ENE of Annapurna I),8026,26332,5,Requires permit for Annapurna I,2,1974,ANNE74101
ANNM,Annapurna I Middle,Annapurna Himal (ENE of Annapurna I),8051,26414,5,Requires permit for Annapurna I,2,1980,ANNM80301
ANNS,Annapurna South,Annapurna Himal (S of Annapurna I and Fang),7219,23684,5,None,2,1964,ANNS64301
APIM,Api Main,Api Himal,7132,23399,7,None,2,1960,APIM60101
APIW,Api West,Api Himal (W of Api),7076,23215,7,None,1,nan,None
BARU,Baruntse,Khumbu Himal (W of Makalu),7152,23465,2,None,2,1954,BARU54101
BAUD,Baudha,Mansiri Himal (SE of Manaslu and Himalchuli),6672,21890,4,None,2,1970,BAUD70101
BHEM,Bhemdang Ri,Jugal Himal (SE of Shalbachum),6150,20177,3,None,2,1964,BHEM64101
BHRI,Bhrikuti,Damodar Himal (NE of Thorong La near Tibetan border),6476,21247,5,Opened in 2014,2,1982,BHRI82101
BOBA,Bobaye,Api Himal (S of Nampa),6808,22336,7,None,2,1996,BOBA96301
CHAM,Chamlang,"Khumbu Himal (in Hongku Valley, SW of Makalu)",7321,24019,2,None,2,1962,CHAM62101
CHAN,Changla,Changla Himal (N of Jumla on Tibetan border),6563,21532,7,None,2,2010,CHAN10301
CHMN,Chamar North,Shringi Himal,7165,23507,4,Opened in 2014,2,1953,CHMN53101
CHEO,Cheo Himal,Peri Himal (ESE of Himlung Himal on Tibetan border),6820,22375,5,None,2,1991,CHEO91301
CHOY,Cho Oyu,Khumbu Himal (NW of Everest on Tibetan border),8188,26864,2,None,2,1954,CHOY54301
CHOB,Chobuje,Rolwaling Himal (NE of Tsho Rolpa),6686,21936,2,None,2,1972,CHOB72101
CHOL,Cholatse,Khumbu Himal (N of Tawoche),6423,21073,2,Converted to trekking peak in 2002,2,1982,CHOL82101
CHOP,Cho Polu,"Khumbu Himal (S of Shartse, N of Baruntse)",6700,21982,2,None,2,1984,CHOP84301
CHUL,Chulu Central,Damodar Himal (E of Thorong La),6584,21601,5,None,2,1955,CHUL55201
CHUG,Chukyima Go,Rolwaling Himal (WSW of Tesi Laptsa),6258,20531,2,Opened in 2014,2,2014,CHUG14301
CHUR,Churen Himal Central,Dhaulagiri Himal (NW of Dhaulagiri VI),7385,24229,6,One permit for Churen Himal's three summits,2,1970,CHUR70301
CHUW,Chulu West,Damodar Himal (E of Thorong La),6419,21060,5,None,2,1952,CHUW52301
TAPL,Taple Shikhar,Kangchenjunga Himal (W of Nepal Peak),6447,21152,1,Opened in 2002,2,1998,TAPL98301
CTSE,Changtse,North of Everest (in Tibet),7583,24879,2,Peak entirely within China,2,1982,CTSE82301
DHA1,Dhaulagiri I,Dhaulagiri Himal,8167,26795,6,None,2,1960,DHA160101
DHA2,Dhaulagiri II,Dhaulagiri Himal (NW of Dhaulagiri I),7751,25430,6,None,2,1971,DHA271101
DHA3,Dhaulagiri III,Dhaulagiri Himal (SW of Dhaulagiri II),7715,25312,6,None,2,1973,DHA373301
DHA4,Dhaulagiri IV,Dhaulagiri Himal (W of Dhaulagiri V),7661,25135,6,None,2,1975,DHA475101
DHA5,Dhaulagiri V,Dhaulagiri Himal (SW of Dhaulagiri III),7618,24993,6,None,2,1975,DHA575101
DHA6,Dhaulagiri VI,Dhaulagiri Himal (WSW of Dhaulagiri IV),7268,23845,6,None,2,1970,DHA670101
DHAM,Dhampus,Mukut Himal (NE of Dhaulagiri I and Tukuche),6012,19724,6,None,2,1960,DHAM60101
DOGA,Dogari,Dhaulagiri Himal (WNW of Putha Hiunchuli),6536,21444,6,Opened in 2003,1,nan,None
PEMK,Pemthang Karpo Ri,Jugal Himal (NNW of Dorje Lhakpa on Tibetan border),6865,22523,3,Opened in 2014,2,1955,PEMK55101
DORJ,Dorje Lhakpa,Jugal Himal (near Tibetan border),6966,22854,3,None,2,1981,DORJ81301
DRAN,Drangnag Ri,Rolwaling Himal (N of Tesi Laptsa near Tibetan border),6757,22169,2,None,2,1995,DRAN95101
DROM,Drohmo,Jongsang Himal (NNW of Kangchenjunga),6881,22575,1,Opened in 1997,1,nan,None
EVER,Everest,Khumbu Himal,8850,29035,2,None,2,1953,EVER53101
FANG,Fang,Annapurna Himal (SW of Annapurna I),7647,25089,5,None,2,1980,FANG80101
FIRN,Firnkopf,Saipal Himal (W of Saipal),6730,22080,7,None,1,nan,None
FIRW,Firnkopf West,Saipal Himal (WSW of Firnkopf),6745,22129,7,None,2,1987,FIRW87301
GAMA,Gama Peak,"Dhaulagiri Himal (N of Dhaulagiri VI, S of Junction Peak)",7187,23579,6,None,2,1970,GAMA70301
GAN1,Ganesh I,Ganesh Himal (on Tibetan border),7422,24350,4,None,2,1955,GAN155301
GAN3,Ganesh III,Ganesh Himal (S of Ganesh I on Tibetan border),7043,23107,4,None,2,1979,GAN379301
